medical_specialty,transcription,cleaned_transcription
Other,"Patient presents with chest pain, shortness of breath, and elevated cardiac enzymes. ECG shows ST elevation.","patient presents with chest pain, shortness of breath, and elevated cardiac enzymes. ecg shows st elevation."
Other,History of hypertension and coronary artery disease. Complains of palpitations and dizziness.,history of hypertension and coronary artery disease. complains of palpitations and dizziness.
Other,"Patient reports recurrent headaches, blurred vision, and numbness in the left arm.","patient reports recurrent headaches, blurred vision, and numbness in the left arm."
Other,MRI shows lesions consistent with multiple sclerosis. Patient has weakness and sensory loss.,mri shows lesions consistent with multiple sclerosis. patient has weakness and sensory loss.
Other,Severe knee pain after fall. X-ray confirms tibial fracture.,severe knee pain after fall. x ray confirms tibial fracture.
Other,Chronic lower back pain with reduced range of motion and muscle spasms.,chronic lower back pain with reduced range of motion and muscle spasms.
Other,"Patient complains of abdominal pain, bloating, and chronic diarrhea.","patient complains of abdominal pain, bloating, and chronic diarrhea."
Other,Endoscopy reveals gastric ulcers and inflammation.,endoscopy reveals gastric ulcers and inflammation.
Other,"Shortness of breath, wheezing, and productive cough. Suspected COPD.","shortness of breath, wheezing, and productive cough. suspected copd."
Other,Chest X-ray shows infiltrates consistent with pneumonia.,chest x ray shows infiltrates consistent with pneumonia.
Other,Patient presents with itchy rash and erythematous skin lesions.,patient presents with itchy rash and erythematous skin lesions.
Other,Psoriatic plaques noted on elbows and scalp.,psoriatic plaques noted on elbows and scalp.
Other,Elevated blood glucose levels with frequent urination and excessive thirst.,elevated blood glucose levels with frequent urination and excessive thirst.
Other,Thyroid function tests indicate hypothyroidism.,thyroid function tests indicate hypothyroidism.
Other,Patient shows elevated creatinine and reduced urine output.,patient shows elevated creatinine and reduced urine output.
Other,Ultrasound reveals bilateral kidney stones.,ultrasound reveals bilateral kidney stones.
Other,Patient arrived with trauma following road traffic accident.,patient arrived with trauma following road traffic accident.
Other,Acute loss of consciousness with hypotension.,acute loss of consciousness with hypotension.
Other,CT scan of the abdomen performed to evaluate internal bleeding.,ct scan of the abdomen performed to evaluate internal bleeding.
Other,MRI of the brain shows no acute abnormalities.,mri of the brain shows no acute abnormalities.
Other,Post-operative wound infection with fever and tenderness.,post operative wound infection with fever and tenderness.
Other,Patient scheduled for appendectomy due to acute appendicitis.,patient scheduled for appendectomy due to acute appendicitis.
Other,Hematuria and flank pain suggest renal colic.,hematuria and flank pain suggest renal colic.
Other,Prostate enlargement causing urinary retention.,prostate enlargement causing urinary retention.
Other,Pregnant patient presents with lower abdominal pain.,pregnant patient presents with lower abdominal pain.
Other,Routine antenatal checkup with normal fetal heart rate.,routine antenatal checkup with normal fetal heart rate.
Other,"Patient reports anxiety, insomnia, and depressive thoughts.","patient reports anxiety, insomnia, and depressive thoughts."
Other,History of bipolar disorder with recent manic episode.,history of bipolar disorder with recent manic episode.
Other,Anemia with low hemoglobin and fatigue.,anemia with low hemoglobin and fatigue.
Other,Chemotherapy initiated for lymphoma.,chemotherapy initiated for lymphoma.
Other,"Fever, fatigue, and body aches suggest viral infection.","fever, fatigue, and body aches suggest viral infection."
Other,Routine health checkup with normal vitals.,routine health checkup with normal vitals.
